State	Democratic/Blue	Republican/Red	Total
Alabama	551899	872849	1441713
Alaska	62007	138377	207605
Arizona	333854	681416	1025897
Arkansas	338646	534774	884406
California	3922519	5467009	9505423
Colorado	454974	821818	1295381
Connecticut	569597	890877	1466900
Delaware	101656	152190	254572
District of Columbia	180408	29009	211288
Florida	1448816	2730350	4180051
Georgia	706628	1068722	1776093
Hawaii	147154	185050	335846
Idaho	108510	297523	411144
Illinois	2086499	2707103	4819088
Indiana	841481	1377230	2233069
Iowa	605620	703088	1319805
Kansas	333149	677296	1021991
Kentucky	539589	822782	1370461
Louisiana	651586	1037299	1706822
Maine	214515	336500	553144
Maryland	787935	879918	1675873
Massachusetts	1239606	1310936	2559453
Michigan	1529638	2251571	3801658
Minnesota	1036364	1032603	2084449
Mississippi	352192	581477	940192
Missouri	848583	1274188	2122771
Montana	146742	232450	384377
Nebraska	187866	460054	652090
Nevada	91655	188770	286667
New Hampshire	120395	267051	388954
New Jersey	1261323	1933630	3217862
New Mexico	201769	307101	514370
New York	3119609	3664763	6806810
North Carolina	824287	1346481	2175361
North Dakota	104429	200336	308971
Ohio	1825440	2678560	4547619
Oklahoma	385080	861530	1255676
Oregon	536479	685700	1226527
Pennsylvania	2228131	2584323	4844903
Rhode Island	197106	212080	410492
South Carolina	344470	615539	968540
South Dakota	116113	200267	317867
Tennessee	711714	990212	1711993
Texas	1949276	3433428	5397571
Utah	155369	469105	629656
Vermont	95730	135865	234561
Virginia	796250	1337078	2146635
Washington	807352	1051670	1883910
West Virginia	328125	405483	735742
Wisconsin	995847	1198800	2212016
Wyoming	53370	133241	188968
