_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
Alabama	427787	750231	1180413
Alaska	134658	128435	279958
Arizona	626921	805062	1506416
Arkansas	352115	470429	848592
California	4388368	2929213	7317581
Colorado	1006433	938195	2041605
Connecticut	554314	526295	1092773
Florida	2801198	2865343	5951571
Georgia	1144794	1345237	2550648
Hawaii	181106	135775	366210
Idaho	169556	235405	439830
Illinois	1681343	1823627	3627690
Iowa	420787	666032	1129057
Kansas	401100	433196	869502
Maine	265114	294519	611227
Maryland	818890	884400	1733177
Massachusetts	1004408	1044573	2158326
Michigan	1479057	1607399	3156531
Minnesota	989113	879257	1975406
Nebraska	211905	308751	540202
Nevada	130722	386340	547349
New Hampshire	254666	230610	486183
New Mexico	219362	293443	512805
New York	2069480	1537077	3812708
Ohio	1009359	1944848	3055913
Oklahoma	338239	460298	824831
Oregon	733230	648542	1469717
Pennsylvania	1920355	1575511	3495866
Rhode Island	131899	117428	324055
South Carolina	516166	696645	1246301
South Dakota	70549	195477	277403
Tennessee	309237	951796	1353728
Texas	1835596	2796547	4718268
Vermont	89509	87075	193087
Wisconsin	1122913	1259706	2410314
Wyoming	45752	99700	167877
