_PARTIES	Democratic	Republican	Independent	Total
_COLORS	Blue	Red	Yellow
Alabama	594169	604926	0	1201969
Alaska	87693	87157	0	213435
Arizona	500702	593492	0	1129607
Arkansas	428936	287904	0	716840
California	3519799	4781766	0	8665375
Colorado	619205	432042	0	1051247
Connecticut	375133	415201	0	1147054
Florida	2135008	2071068	0	4206659
Georgia	788926	756371	0	1545297
Hawaii	134978	107908	113158	369013
Idaho	181363	216123	0	419330
Illinois	1069850	1984318	0	3106556
Iowa	414453	566395	0	997248
Kansas	294733	526113	0
Maine	172951	117990	180829	511308
Maryland	708094	702101	0	1410300
Massachusetts	611650	1533390	0
Michigan	1188438	1899101	0	1900639
Minnesota	589344	1094165	0	1727394
Nebraska	423270	148230	0	579561
Nevada	200026	156875	0	379676
New Hampshire	79686	218134	0	311882
New Mexico	186686	232945	0	467621
New York	2364904	2538702	0	5203762
Ohio	835849	2401572	0	3346238
Oklahoma	294936	466740	0	995012
Oregon	622083	517874	0	1221010
Pennsylvania	1430099	1627976	0	3585526
Rhode Island	157361	171194	0	362377
South Carolina	447002	470756	0	933850
South Dakota	126273	172515	0	311613
Tennessee	664252	807104	0	1487130
Texas	2016928	2350994	0	4396242
Vermont	145661	40292	0	212046
Wisconsin	482850	1051326	0	1563835
Wyoming	80747	104638	0	200990
