_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	519827	718327	1250401
Alaska	97238	114697	238307
Arizona	959830	543528	1533645
Arkansas	430765	315040	774680
California	3376732	4850157	8679423
Colorado	888095	625886	1558405
Connecticut	398220	710048	1123212
Florida	2178289	2519845	4829271
Georgia	811049	1229724	2122185
Hawaii	121717	215313	344315
Idaho	198845	237437	450832
Illinois	1736731	1369315	3487989
Iowa	569021	467425	1053255
Kansas	491993	343586	849700
Maine	209927	166425	550865
Maryland	942279	825464	1788316
Massachusetts	1234984	784342	2219779
Michigan	2142513	1608086	3801256
Minnesota	1007460	1028568	2202937
Nebraska	145115	435507	593357
Nevada	255684	279003	582158
New Hampshire	298760	104288	403679
New Mexico	384806	174364	559170
New York	3086709	1274335	4437220
Ohio	2435384	1474285	4022754
Oklahoma	616135	310327	926462
Oregon	699786	589748	1379475
Pennsylvania	2470517	1622135	4095322
Rhode Island	189503	197306	386809
South Carolina	489076	601868	1091952
South Dakota	121226	206990	335508
Tennessee	1247491	540853	1818549
Texas	1310353	1716803	4399068
Vermont	108090	148014	262524
Wisconsin	1139115	979427	2159251
Wyoming	135516	58100	193616
