_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	662165	769044	1534349
Alaska	80380	122746	241620
Arizona	653288	622073	1404405
Arkansas	475171	325416	884262
California	5119835	3828380	10019484
Colorado	671152	691848	1510704
Connecticut	735740	483109	1392614
Delaware	140355	99062	270845
District of Columbia	158220	17339	185726
Florida	2546870	2244536	5303794
Georgia	1053849	1080843	2299071
Hawaii	205012	113943	360120
Idaho	165443	256595	491719
Illinois	2341744	1587021	4311391
Indiana	887424	1006693	2135842
Iowa	620258	492644	1234075
Kansas	387659	583245	1074300
Kentucky	636614	623283	1388708
Louisiana	927837	712586	1783959
Maine	312788	186378	605897
Maryland	966207	681530	1780870
Massachusetts	1571763	718107	2556785
Michigan	1989653	1481212	3848844
Minnesota	1120438	766476	2192640
Mississippi	394022	439838	893857
Missouri	1025935	890016	2158065
Montana	167922	179652	407261
Nebraska	236761	363467	677415
Nevada	203974	199244	464279
New Hampshire	246214	196532	499175
New Jersey	1652329	1103078	3075807
New Mexico	273495	232751	556074
New York	3756177	1933492	6316129
North Carolina	1107849	1225938	2515807
North Dakota	106905	125050	266411
Ohio	2148222	1859883	4534434
Oklahoma	488105	582315	1206713
Oregon	649641	538152	1377760
Pennsylvania	2215819	1801169	4506118
Rhode Island	233050	104683	390284
South Carolina	504051	573458	1149457
South Dakota	139333	150543	323826
Tennessee	909146	863530	1894105
Texas	2459683	2736167	5611644
Utah	221633	361911	665629
Vermont	137894	80352	258449
Virginia	1091060	1138350	2416642
Washington	1123323	840712	2253837
West Virginia	327812	233946	636459
Wisconsin	1071971	845029	2196169
Wyoming	77934	105388	211571
