_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
AUTAUGA__AL	4942	11993	17208
BALDWIN__AL	13997	40872	56480
BARBOUR__AL	5188	5096	10395
BIBB__AL	2710	4273	7101
BLOUNT__AL	4977	12667	17973
BULLOCK__AL	3395	1433	4904
BUTLER__AL	3606	4127	7803
CALHOUN__AL	15781	22306	38909
CHAMBERS__AL	5616	6037	11834
CHEROKEE__AL	3497	4154	7823
CHILTON__AL	4806	10066	15092
CHOCTAW__AL	3707	3600	7374
CLARKE__AL	4679	5988	10752
CLAY__AL	2045	3719	5883
CLEBURNE__AL	1664	3333	5092
COFFEE__AL	5220	9938	15434
COLBERT__AL	10543	10518	21532
CONECUH__AL	2783	2699	5551
COOSA__AL	2104	2382	4567
COVINGTON__AL	4440	8961	13613
CRENSHAW__AL	1934	2793	4795
CULLMAN__AL	9758	19157	29525
DALE__AL	4906	10593	15806
DALLAS__AL	10967	7360	18464
DEKALB__AL	7056	12827	20285
ELMORE__AL	6652	16777	23804
ESCAMBIA__AL	4523	6975	11660
ETOWAH__AL	17433	21087	39348
FAYETTE__AL	3064	4582	7808
FRANKLIN__AL	4793	6119	11103
GENEVA__AL	2769	6588	9559
GREENE__AL	3504	850	4396
HALE__AL	4652	2984	7731
HENRY__AL	2782	4054	6932
HOUSTON__AL	9412	22150	32057
JACKSON__AL	9066	8475	17906
JEFFERSON__AL	129889	138491	273763
LAMAR__AL	2653	4470	7249
LAUDERDALE__AL	13875	17478	32137
LAWRENCE__AL	6296	5671	12185
LEE__AL	14574	22433	38264
LIMESTONE__AL	8992	14204	23634
LOWNDES__AL	4557	1638	6243
MACON__AL	7665	1091	8831
MADISON__AL	48199	62151	113318
MARENGO__AL	4841	4690	9608
MARION__AL	4600	6910	11756
MARSHALL__AL	10381	17084	27989
MOBILE__AL	58640	78162	139745
MONROE__AL	3741	5153	8951
MONTGOMERY__AL	40371	38827	80328
MORGAN__AL	16060	25774	42681
PERRY__AL	4020	1732	5787
PICKENS__AL	4143	4306	8540
PIKE__AL	4357	6058	10544
RANDOLPH__AL	3094	4666	7919
RUSSELL__AL	8396	6198	14775
ST__CLAIR__AL	6485	17117	24090
SHELBY__AL	13183	47651	62128
SUMTER__AL	4415	1629	6088
TALLADEGA__AL	11264	13807	25451
TALLAPOOSA__AL	6183	9805	16253
TUSCALOOSA__AL	24614	34003	60114
WALKER__AL	11621	13486	25641
WASHINGTON__AL	3386	4117	7596
WILCOX__AL	3444	1661	5126
WINSTON__AL	2692	6413	9318
APACHE__AZ	13025	5947	19456
COCHISE__AZ	13360	18180	33241
COCONINO__AZ	20280	17562	40883
GILA__AZ	7700	9158	17736
GRAHAM__AZ	3355	6007	9664
GREENLEE__AZ	1216	1619	2960
