_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Autauga__AL	7503	19838	27770
Baldwin__AL	24578	83544	109679
Barbour__AL	4816	5622	10518
Bibb__AL	1986	7525	9595
Blount__AL	2640	24711	27588
Bullock__AL	3446	1146	4613
Butler__AL	3965	5458	9488
Calhoun__AL	15216	35101	50983
Chambers__AL	6365	8753	15284
Cherokee__AL	1624	10583	12301
Chilton__AL	3073	16085	19310
Choctaw__AL	3127	4296	7464
Clarke__AL	5755	7324	13135
Clay__AL	1267	5601	6930
Cleburne__AL	675	6484	7227
Coffee__AL	5076	16899	22275
Colbert__AL	8343	19203	27886
Conecuh__AL	2966	3442	6441
Coosa__AL	1796	3631	5479
Covington__AL	2721	14586	17430
Crenshaw__AL	1700	4864	6617
Cullman__AL	4478	36880	41851
Dale__AL	5170	14303	19738
Dallas__AL	12230	5524	17864
DeKalb__AL	4281	24767	29356
Elmore__AL	10367	30164	41030
Escambia__AL	4918	10869	15910
Etowah__AL	11567	35528	47728
Fayette__AL	1395	7300	8766
Franklin__AL	2086	10376	12578
Geneva__AL	1595	10848	12545
Greene__AL	3884	875	4775
Hale__AL	4663	3192	7900
Henry__AL	2606	6607	9298
Houston__AL	12917	32618	46173
Jackson__AL	3717	19670	23636
Jefferson__AL	181688	138843	325848
Lamar__AL	978	6174	7193
Lauderdale__AL	11915	31721	44339
Lawrence__AL	3562	12322	16031
Lee__AL	27860	42221	71449
Limestone__AL	13672	34640	49235
Lowndes__AL	4972	1836	6835
Macon__AL	7108	1541	8723
Madison__AL	87286	102780	194767
Marengo__AL	5488	5343	10900
Marion__AL	1463	12205	13807
Marshall__AL	5943	33191	39655
Mobile__AL	79474	101243	183164
Monroe__AL	4455	6147	10668
Montgomery__AL	64529	33311	99139
Morgan__AL	13234	39664	53722
Perry__AL	3860	1339	5230
Pickens__AL	4022	5594	9668
Pike__AL	5636	8042	13841
Randolph__AL	2203	8559	10837
Russell__AL	11228	9864	21329
Shelby__AL	33268	79700	114950
St__Clair__AL	7744	36166	44441
Sumter__AL	4648	1598	6291
Talladega__AL	13138	22235	35663
Tallapoosa__AL	5859	14963	20991
Tuscaloosa__AL	37765	51117	90172
Walker__AL	4834	26002	31170
Washington__AL	2258	6564	8876
Wilcox__AL	4048	1833	5903
Winston__AL	974	10195	11284
Apache__AZ	23293	11442	35268
Cochise__AZ	23732	35557	60665
Coconino__AZ	44698	27052	73632
Gila__AZ	8943	18377	27735
Graham__AZ	4034	10749	15029
Greenlee__AZ	1182	2433	3696
La_Paz__AZ	2236	5129	7472
Maricopa__AZ	1040774	995665	2076086
Mohave__AZ	24831	78535	104883
Navajo__AZ	23383	27657	51930
Pima__AZ	304981	207758	522174
Pinal__AZ	75106	107077	185525
Santa_Cruz__AZ	13138	6194	19581
Yavapai__AZ	49602	91527	143640
Yuma__AZ	32210	36534	70072
Anderson__TX	3955	15110	19227
Andrews__TX	850	4943	5863
Angelina__TX	9143	25076	34635
Aransas__TX	2916	9239	12290
Archer__TX	446	4300	4796
Armstrong__TX	75	1035	1112
Atascosa__TX	5876	12039	18138
Austin__TX	2951	11447	14586
Bailey__TX	409	1434	1860
Bandera__TX	2505	10057	12726
Bastrop__TX	15474	20516	36762
Baylor__TX	183	1494	1702
Bee__TX	3288	6006	9426
Bell__TX	57014	67893	127690
Bexar__TX	448452	308618	770571
Blanco__TX	1911	5443	7459
Borden__TX	16	397	416
Bosque__TX	1561	7469	9126
Bowie__TX	10747	27116	38261
Brazoria__TX	62228	90433	154984
Brazos__TX	35349	47530	85313
Brewster__TX	2258	2461	4822
Briscoe__TX	78	639	725
Brooks__TX	1470	998	2484
Brown__TX	2107	13698	15969
Burleson__TX	1788	6743	8609
Burnet__TX	5639	18767	24717
