_PARTIES	Democratic	Republican	Independent	Total
_COLORS	Blue	Red	Yellow
Alabama	690080	804283	183109	1688060
Alaska	78294	102000	73481	258506
Arizona	543050	572086	353741	1487006
Arkansas	505823	337324	99132	950653
California	5121325	3630574	2296006	11131721
Colorado	629681	562850	366010	1569180
Connecticut	682318	578313	348771	1616332
Delaware	126054	102313	59213	289620
District of Columbia	192619	20698	9681	227572
Florida	2072698	2173310	1053067	5314392
Georgia	1008966	995252	309657	2321133
Hawaii	179310	136822	53003	372842
Idaho	137013	202645	130395	482114
Illinois	2453350	1734096	840515	5050157
Indiana	848420	989375	455934	2305871
Iowa	586353	504891	253468	1354607
Kansas	390434	449951	312358	1157256
Kentucky	665104	617178	203944	1492900
Louisiana	815971	733386	211478	1790017
Maine	263420	206504	206820	679499
Maryland	988571	707094	281414	1985046
Massachusetts	1318662	805049	632312	2773574
Michigan	1871182	1554940	824813	4274673
Minnesota	1020997	747841	562506	2347948
Mississippi	400258	487793	85626	981793
Missouri	1053873	811159	518741	2391270
Montana	154507	144207	107225	410583
Nebraska	217344	344346	174687	739283
Nevada	189148	175828	132580	506318
New Hampshire	209040	202484	121337	537215
New Jersey	1436206	1356865	521829	3343594
New Mexico	261617	212824	91895	569986
New York	3444450	2346649	1090721	6926925
North Carolina	1114042	1134661	357864	2611850
North Dakota	99168	136244	71084	308133
Ohio	1984942	1894310	1036426	4939964
Oklahoma	473066	592929	319878	1390359
Oregon	621314	475757	354091	1462643
Pennsylvania	2239164	1791841	902667	4959810
Rhode Island	213299	131601	105045	453477
South Carolina	479514	577507	138872	1202527
South Dakota	124888	136718	73295	336254
Tennessee	933521	841300	199968	1982638
Texas	2281815	2496071	1354781	6154018
Utah	183429	322632	203400	743998
Vermont	133592	88122	65991	289701
Virginia	1038650	1150517	348639	2558665
Washington	993037	731234	541780	2287565
West Virginia	331001	241974	108829	683677
Wisconsin	1041066	930855	544479	2531114
Wyoming	68160	79347	51263	199884
