_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	692611	941173	1666272
Alaska	79004	167398	285560
Arizona	685341	781652	1532016
Arkansas	422768	472940	921781
California	5861203	4567429	10965856
Colorado	738227	883748	1741368
Connecticut	816015	561094	1459525
Delaware	180068	137288	327622
District of Columbia	171923	18073	201894
Florida	2912253	2912790	5963110
Georgia	1116230	1419720	2596804
Hawaii	205286	137845	367951
Idaho	138637	336937	501621
Illinois	2589026	2019421	4742123
Indiana	901980	1245836	2199302
Iowa	638517	634373	1315563
Kansas	399276	622332	1072218
Kentucky	638898	872492	1544187
Louisiana	792344	927871	1765656
Maine	319951	286616	651817
Maryland	1145782	813797	2025480
Massachusetts	1616487	878502	2702984
Michigan	2170418	1953139	4232501
Minnesota	1168266	1109659	2438685
Mississippi	404614	572844	994184
Missouri	1111138	1189924	2359892
Montana	137126	240178	410997
Nebraska	231780	433862	697019
Nevada	279978	301575	608970
New Hampshire	266348	273559	569081
New Jersey	1788850	1284173	3187226
New Mexico	286783	286417	598605
New York	4107697	2403374	6821999
North Carolina	1257692	1631163	2911262
North Dakota	95284	174852	288256
Ohio	2186190	2351209	4705457
Oklahoma	474276	744337	1234229
Oregon	720342	713577	1533968
Pennsylvania	2485967	2281127	4913119
Rhode Island	249508	130555	409112
South Carolina	565561	785937	1382717
South Dakota	118804	190700	316269
Tennessee	981720	1061949	2076181
Texas	2433746	3799639	6407637
Utah	203053	515096	770754
Vermont	149022	119775	294308
Virginia	1217290	1437490	2739447
Washington	1247652	1108864	2487433
West Virginia	295497	336475	648124
Wisconsin	1242987	1237279	2598607
Wyoming	60481	147947	218351
