_PARTIES	Democratic	Republican	Independent	Total
_COLORS	Blue	Red
Alabama	748709	1335104		2087444
Alaska	36200	138149	90825	311441
Arizona	1031245	1359267		2529146
Arkansas	400602	661984		1107522
California	4811300	2150217		7512322
Colorado	1370710	1215318		2743023
Connecticut	1008714	552621		1596276
Florida	4122088	4835191		9301820
Georgia	1599726	2135806		3897792
Hawaii	306604	92653		437664
Idaho	188249	449017		678943
Illinois	3012940	2184692		5491878
Indiana	1158947	1423991		2732573
Iowa	549460	926007		1541036
Kansas	379740	732376		1177922
Kentucky	813246	1090177		1903465
Louisiana	347816	536191
Maryland	1659907	972557		2726170
Missouri	1300200	1378458		2802641
Nevada	521994	495079		1108294
New Hampshire	354649	353632		738620
New York	5221945	2009335		7800619
North Carolina	2128165	2395376		4691133
North Dakota	58116	268788		342501
Ohio	1996908	3118567		5374164
Oklahoma	355911	980892		1448047
Oregon	1105119	651106		1952478
Pennsylvania	2865012	2951702		6051941
South Carolina	757022	1241609		2049893
South Dakota	104125	265494
Utah	301860	760241		1115608
Vermont	192243	103637		320467
Washington	1913979	1329338		3243317
Wisconsin	1380335	1479471		2947345
