_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Arizona	1191100	1135200	2384308
California	4231444	2216223	6670720
Connecticut	825579	545717	1386840
Delaware	217385	137127	362592
Florida	4089472	4099505	8190005
Hawaii	276316	112035
Indiana	1025178	1161546	2287947
Maine	344575	223502	634409
Maryland	1491614	697017	2299889
Massachusetts	1633371	979210	2707090
Michigan	2214478	1938818	4237271
Minnesota	1566174	940437	2596879
Mississippi	369567	547619	936215
Missouri	1112935	1254927	2442289
Montana	253876	235963	504384
Nebraska	269917	403151	698883
Nevada	490071	441202	972132
New Jersey	1711654	1357355	3169310
New Mexico	376998	212813	697012
New York	4056931	1998220	6055151
North Dakota	144376	179720	326138
Ohio	2355923	2053963	4410898
Pennsylvania	2792437	2134848	5009400
Rhode Island	231477	144421	376738
Tennessee	985450	1227483	2243740
Texas	4045632	4260553	8371655
Utah	328541	665215	1062897
Vermont	183649	74815	272624
Virginia	1910370	1374313	3351757
Washington	1803364	1282804
West Virginia	290510	271113	586034
Wisconsin	1472914	1184885	2660763
Wyoming	61227	136210	203420
