_PARTIES	Democratic	Republican	Independent	Total
_COLORS	Blue	Red	Yellow	
Alabama	920478	1392076		2316445
Alaska	146068	191112		354587
Arizona	1716467	1637661		3355317
Arkansas		793871	399390	
Colorado	1731114	1429492		3235659
Delaware	291804	186054		490935
Georgia	2269738	2214506		
Idaho	285864	538446		859827
Illinois	3278930	2319870		5967901
Iowa	754859	864997		1671828
Kansas	571530	727962		1367755
Kentucky	816257	1233315		2135057
Louisiana	730989	1267291		2071543
Maine	347223	417645		819183
Massachusetts	2357809	1177765		3564136
Michigan	2734568	2642233		5479720
Minnesota	1566522	1398145		3214256
Mississippi	578806	709539		1311497
Montana	227191	583507		930012
Nebraska	227191	583507		930012
New Hampshire	450771	326229		795907
New Jersey	2541178	1817052		4440440
New Mexico	474483	418483		917237
North Carolina	2569965	2665598		5474952
Oklahoma	509763	979140		1556361
Oregon	1321047	912814		2321249
Rhode Island	328574	164855		494262
South Carolina	1110828	1369137		2515104
South Dakota	143987	276232		
Tennessee	1040691	1840926		2959761
Texas	4888764	5962983		11144040
Virginia	2466500	1934199		4405087
West Virginia	210309	547454		778918
Wyoming	72766	198100		271937
